pal_function,package,palette,length,type,novelty,creatorName,maintainerName,projectUrl,description,colors
paletteer_d,awtools,a_palette,8,sequential,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#2A363BFF, #019875FF, #99B898FF, #FECEA8FF, #FF847CFF, #E84A5FFF, #C0392BFF, #96281BFF"
paletteer_d,awtools,ppalette,8,qualitative,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#F7DC05FF, #3D98D3FF, #EC0B88FF, #5E35B1FF, #F9791EFF, #3DD378FF, #C6C6C6FF, #444444FF"
paletteer_d,awtools,bpalette,16,qualitative,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#C62828FF, #F44336FF, #9C27B0FF, #673AB7FF, #3F51B5FF, #2196F3FF, #29B6F6FF, #006064FF, #009688FF, #4CAF50FF, #8BC34AFF, #FFEB3BFF, #FF9800FF, #795548FF, #9E9E9EFF, #607D8BFF"
paletteer_d,awtools,gpalette,4,sequential,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#D6D6D6FF, #ADADADFF, #707070FF, #333333FF"
paletteer_d,awtools,mpalette,9,qualitative,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#017A4AFF, #FFCE4EFF, #3D98D3FF, #FF363CFF, #7559A2FF, #794924FF, #8CDB5EFF, #D6D6D6FF, #FB8C00FF"
paletteer_d,awtools,spalette,6,qualitative,TRUE,Austin Wehrwein,<jawehrwein@gmail.com>,http://github.com/awhstin/awtools,"Distilled package holding some useful things I use on
    austinwehrwein.com. Some themes, color palettes, functions etc.","#9F248FFF, #FFCE4EFF, #017A4AFF, #F9791EFF, #244579FF, #C6242DFF"
paletteer_d,basetheme,brutal,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#5E81ACFF, #8FA87AFF, #BF616AFF, #E7D202FF, #7D5329FF, #F49538FF, #66CDAAFF, #D070B9FF, #98FB98FF, #FCA3B7FF"
paletteer_d,basetheme,clean,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#5DA5DAFF, #FAA43AFF, #60BD68FF, #F15854FF, #B276B2FF, #8D4B08FF, #DECF3FFF, #F17CB0FF, #66E3D9FF, #00FF7FFF"
paletteer_d,basetheme,dark,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#3870C2FF, #8AC1D4FF, #F2A83BFF, #66C84DFF, #DA2E20FF, #FFFD55FF, #EB8677FF, #A6EB99FF, #DF89E8FF, #8A6842FF"
paletteer_d,basetheme,deepblue,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#42BA90FF, #BEE948FF, #3A82E4FF, #D25D38FF, #E9A820FF, #9041BAFF, #795C32FF, #EC5578FF, #00B7EBFF, #FEE12BFF"
